accidents,traffic_density,average_speed
22,1.6473,35.9975
18,3.5136,8.2219
15,2.6487,37.7682
21,3.4986,3.0102
26,7.0832,7.4812
25,3.6785,14.0055
20,5.5526,39.805
17,0.9993,42.5068
22,8.0502,11.019
30,3.6989,4.7892
21,6.4853,42.3977
27,7.2539,32.4684
24,2.0966,7.8928
24,8.8467,27.8858
22,6.1622,43.6186
22,4.2873,3.4757
15,1.8234,4.1861
28,9.423,13.6804
23,7.5507,32.6131
15,2.0802,8.9004
26,3.3771,40.8184
24,8.0967,37.5215
14,6.9568,28.0502
16,7.6578,5.8034
23,4.412,49.411
17,7.1648,24.5017
18,3.8649,22.6037
23,2.1126,49.7785
22,6.3268,43.1934
21,9.7601,22.8184
18,3.106,20.9401
18,4.6097,4.7955
21,6.74,46.3256
28,5.4151,42.1887
30,8.4343,15.5001
30,7.6174,37.6661
20,0.583,38.1365
27,9.9842,11.3955
32,7.524,30.6828
18,8.639,12.7514
24,6.512,39.4943
20,8.5629,7.6905
15,1.1238,33.4453
20,3.4774,16.3006
22,8.7642,1.8091
18,2.0166,6.1852
24,0.7824,32.745
24,7.8812,11.9957
24,8.3549,31.5518
21,1.6265,20.7411
27,8.5435,34.6357
30,6.8677,24.6474
29,5.2008,15.4274
20,8.3025,7.291
23,4.1925,17.0549
19,1.9399,31.7447
23,2.8485,37.0237
18,5.0516,8.017
26,5.3133,33.2136
20,8.0558,8.964
19,7.9135,11.091
24,5.8137,26.5659
19,7.8079,14.4601
19,1.9177,33.0798
23,0.5006,47.7888
27,8.7363,7.4446
13,0.7555,28.5255
17,2.4669,46.165
26,6.9532,8.8264
24,4.0945,18.3425
24,8.7631,6.1808
22,2.9798,32.1019
16,0.1187,33.4571
19,3.0066,33.2091
27,5.7808,27.1064
19,3.7594,37.313
27,5.3487,1.7939
28,8.766,47.8757
22,9.1249,11.1048
15,2.6597,6.0781
22,4.6214,47.0568
24,5.4914,41.5218
33,9.4911,38.2435
23,9.9862,5.2373
22,2.3541,40.3765
27,7.2698,30.4512
23,3.7803,36.5954
21,0.0811,48.9035
19,0.0925,9.7221
19,4.6057,25.2191
26,4.8833,37.6676
19,0.2257,21.6828
27,6.8693,2.7327
9,2.94,5.5719
21,5.5989,30.1046
14,3.0092,14.2502
18,1.6713,6.892
23,4.0717,16.9946
19,2.3227,10.049
19,5.348,1.197
15,1.9883,7.5907
19,5.0841,44.1539
20,1.5738,0.6019
31,6.7097,38.6925
27,7.5394,37.6731
17,1.1039,28.2119
17,4.678,10.4224
22,0.7087,43.903
23,5.9818,23.7538
10,2.644,8.6603
18,5.2762,21.4511
24,5.1746,9.7459
27,9.2435,18.8004
28,5.4908,24.8344
25,5.83,17.995
22,4.0165,32.8522
31,9.4908,46.7959
26,7.7719,17.4075
24,2.8541,17.787
17,8.4421,36.9151
26,4.324,26.5295
23,8.2867,21.442
25,8.2289,40.6904
13,1.8887,44.5518
29,7.0114,29.5293
16,2.9064,9.2552
16,2.9749,23.3143
12,2.9635,25.2185
21,7.2557,21.6104
19,2.2983,13.1216
20,0.0091,23.6161
19,7.1524,22.3273
9,1.7118,10.4747
17,1.0448,45.1715
20,2.3752,44.267
21,3.799,37.9808
17,4.7591,20.0473
24,0.4457,18.5171
27,9.7057,35.8233
23,7.1606,30.406
14,3.2319,30.0299
18,3.187,6.2056
29,4.4854,30.9142
23,6.2624,45.0932
18,1.4637,4.2908
22,1.8893,16.9586
28,8.5943,25.4507
15,2.5625,34.3005
22,3.8019,4.4817
29,8.7127,43.6403
21,6.6315,2.0273
24,3.4171,42.8845
25,6.837,1.3826
6,0.1968,7.6762
28,7.3564,40.0162
14,4.8702,43.0082
28,8.1318,49.1133
19,9.5464,5.7857
24,9.2579,26.3226
24,9.0927,3.8578
20,5.1217,7.8204
23,3.6014,8.7247
24,4.6504,3.1694
17,6.899,44.649
20,8.84,6.3178
13,2.0699,31.467
31,9.1819,31.2874
22,8.1518,9.9323
18,9.7886,49.9206
22,8.8025,17.3684
23,2.7994,45.2547
16,1.0596,47.4142
19,1.1224,47.4494
11,2.9122,37.6419
27,6.1418,12.6903
20,8.0432,6.0328
26,8.9925,28.4942
24,6.2375,18.002
25,0.0563,41.552
17,1.8632,37.2495
14,0.9973,13.8234
16,3.6332,0.8508
18,5.0135,11.8658
15,0.434,28.3558
16,3.4848,3.9499
18,1.7918,32.9136
22,6.4707,33.5848
18,4.6427,8.4697
18,4.9532,29.8159
25,4.2769,30.3486
26,9.5602,23.8989
17,2.1474,47.6623
22,5.1666,5.4082
12,7.3602,20.3313
25,5.5684,44.146
19,9.2902,19.3157
9,3.7797,21.232
15,4.6368,33.4137
21,0.8852,33.2782
15,6.09,1.1451
16,2.8821,22.7849
19,1.6031,16.6756
27,5.4453,31.3848
12,5.3231,27.7851
18,0.7587,32.5431
23,6.9822,32.6884
17,6.2377,12.7436
12,1.8902,12.3232
18,4.6943,18.5141
22,7.2032,12.0979
26,5.2944,34.1404
20,3.9549,30.1433
23,3.2234,10.8194
19,6.1039,44.2052
24,9.3911,23.0331
17,6.7174,6.3527
22,0.7475,10.6483
16,4.6068,26.9925
29,8.9082,16.9212
13,0.9446,42.5611
31,9.8888,24.7368
30,9.4907,45.7647
12,0.7827,5.0913
29,9.3341,33.4297
24,3.6313,44.2892
20,8.4471,14.6465
18,4.1838,6.7844
18,4.4086,22.8322
16,6.3424,48.0667
18,7.7448,31.6731
23,0.3379,32.1988
29,5.9316,33.5751
18,1.8673,1.9881
19,3.4595,22.2825
13,3.4797,3.8786
22,4.6906,15.7929
23,3.3414,41.08
14,1.0736,32.8135
22,1.4563,49.7786
17,0.3344,8.6077
17,4.7025,19.8527
26,9.5445,40.482
23,1.1568,10.7846
21,9.4626,7.6861
17,7.3336,21.3806
23,6.375,19.1863
16,6.4528,49.0103
16,8.2673,22.8126
15,1.0692,43.0473
27,5.0475,44.3983
16,6.9709,7.8936
23,5.8682,35.7652
19,8.3278,13.8804
12,0.7227,4.7369
16,6.907,43.7352
14,5.3403,14.6217
17,3.7916,17.2683
26,3.4027,16.1995
17,6.2083,10.0148
21,8.91,21.7252
25,4.9618,21.4146
16,8.2472,20.4376
21,4.0216,45.8149
15,1.0239,16.9876
17,0.6151,1.5189
17,0.5133,8.9219
27,3.8015,36.0749
19,3.3724,29.5429
22,7.1794,47.5867
31,7.4282,34.7218
14,0.5085,9.7121
18,2.2112,6.0322
16,2.7426,26.038
17,5.4761,33.2631
15,1.4452,8.2818
18,1.3394,30.0847
27,9.4379,43.2514
23,8.042,36.3784
20,1.8065,33.2096
22,4.0657,39.4666
23,3.5562,5.2041
30,7.91,10.1916
24,5.1021,1.905
18,1.2785,7.2489
19,7.3899,45.6591
20,3.9689,11.1072
11,2.6292,33.1049
16,3.755,34.5784
29,4.9776,32.2663
14,3.4312,27.6961
17,2.4191,24.3065
10,3.985,20.996
18,0.1917,45.8449
22,7.725,0.4757
21,1.7094,2.6745
10,0.439,24.6256
20,6.537,16.5255
18,7.7394,20.4115
33,8.1383,49.8924
13,4.9351,38.7567
22,2.0537,43.8704
19,7.3723,18.4287
25,6.9971,11.978
21,2.4627,38.3995
34,9.0341,40.3788
21,1.0437,27.4949
23,9.8269,44.7971
30,8.6025,48.3663
21,6.879,23.551
25,9.3875,11.1333
21,7.2231,25.8557
27,1.9046,49.4767
23,4.4216,14.6463
16,0.715,30.88
25,3.8966,34.6992
27,7.416,10.6964
13,3.8644,29.423
13,3.3029,15.7254
25,5.9536,42.7105
29,8.722,35.7377
13,0.4758,41.3133
25,3.8547,9.9841
19,1.5824,1.7287
25,6.9535,42.5263
18,1.0572,19.3377
16,6.6481,8.9861
24,2.8618,4.5948
24,1.9892,25.825
26,9.3635,7.5064
12,0.1852,28.3346
21,4.3778,36.3653
27,0.2163,26.7529
19,4.8359,45.185
24,5.0105,7.7785
18,3.2166,24.6977
18,1.3216,8.1595
30,3.7639,43.7951
28,6.7226,46.612
19,7.824,19.9998
17,5.3075,15.2874
14,5.8983,13.9658
14,2.0062,42.9864
16,2.8733,34.1221
24,1.619,44.0297
21,2.493,5.8758
9,2.2489,23.8014
27,5.1945,33.809
28,5.6269,44.8545
29,9.4495,19.101
26,1.9557,15.6545
27,6.4168,45.6483
24,8.1726,2.3767
25,5.6024,23.9798
13,2.55,22.9313
14,2.6255,7.3028
16,0.3925,19.7475
20,3.0544,36.13
25,7.446,18.3434
19,0.4752,15.483
21,2.193,39.0948
18,7.0623,49.4358
22,7.8265,38.9676
28,4.5532,42.3172
24,6.9807,46.975
23,3.8795,40.0886
13,1.5991,49.0177
16,3.9815,37.3642
23,5.7997,33.0761
19,9.4805,34.6674
14,0.6875,45.0041
16,5.0739,34.1504
12,3.2892,38.0603
19,5.0831,10.8005
23,0.2398,45.6325
20,3.1303,22.3607
23,8.1987,8.0534
21,5.5394,39.9894
27,4.5058,17.8197
25,2.8553,9.206
12,2.9804,12.8126
11,3.831,1.7474
24,8.3557,4.5311
28,9.6721,29.6312
24,4.3866,43.3109
27,3.9335,22.4265
16,8.4655,31.3029
22,4.2691,40.4867
24,5.5202,17.8384
23,2.3094,32.7157
21,7.435,17.5216
23,5.3199,32.1358
19,8.0903,10.8804
28,7.8073,48.892
28,2.15,3.8089
25,7.1564,25.2616
16,8.0005,14.3148
13,3.4611,30.0419
20,1.7261,21.4153
11,0.0263,15.3333
18,4.509,12.5019
20,3.5243,9.1249
19,5.5491,39.144
22,1.8804,11.11
29,8.5967,38.6763
23,2.5776,24.2519
24,2.2643,3.6114
26,4.8071,8.2721
23,4.9885,44.6452
20,2.1509,30.1408
13,2.7186,9.2167
22,1.6971,35.1882
26,7.1846,41.1631
25,7.7009,16.5327
25,4.6233,27.8298
19,7.1409,14.6725
22,7.3594,4.0031
18,1.3828,19.9755
28,9.6618,37.5716
21,8.2103,22.934
14,2.0448,20.2635
18,1.8617,18.3004
22,1.2566,22.9458
20,1.3838,15.9114
22,7.4816,30.6092
23,4.6965,3.1783
30,7.8293,40.3694
20,7.4625,8.6583
24,6.0461,31.6722
21,6.8637,22.4941
11,0.1836,38.6747
30,3.1178,41.307
21,6.3782,10.21
16,0.0934,33.859
22,0.3298,9.4954
20,8.5189,6.1999
22,6.8402,46.5148
23,2.6537,8.2195
17,6.8796,11.4066
20,7.9246,6.5162
18,3.0679,23.5146
18,0.3604,45.9804
24,9.3278,13.2028
20,3.4518,27.0926
19,1.0648,20.5729
11,4.9186,16.8005
28,7.6847,28.6076
16,2.2165,27.9446
17,2.6949,17.9683
23,2.4271,42.5282
24,9.9167,2.6586
14,1.974,4.2619
15,5.7552,49.5391
15,9.2526,37.3841
19,1.469,40.1964
24,9.7085,30.1351
22,9.4748,20.993
28,8.8457,31.4613
19,2.1456,4.6292
25,6.3406,37.8885
20,7.6089,27.0372
15,9.8603,47.8366
27,1.8042,31.8738
13,7.6603,7.5846
10,3.388,23.8775
21,1.7563,2.8911
21,4.2138,37.2715
18,7.9384,25.0916
25,4.6485,18.4827
17,5.3752,48.4275
28,9.9516,47.0299
18,3.9911,47.6416
12,6.154,11.0485
16,3.6524,36.4285
19,3.9279,47.2691
20,6.9564,28.5435
21,9.3789,10.708
21,5.4236,40.8906
20,7.684,43.9959
21,0.8921,35.1618
17,2.1116,14.6776
28,5.0213,9.5347
23,0.2001,31.2135
21,2.5285,24.14
15,5.174,33.4391
19,0.1496,5.585
11,2.6455,6.7957
24,5.1403,18.1445
26,5.7315,12.938
24,9.2575,30.9669
20,6.4535,18.377
27,4.1474,34.1985
25,9.3035,38.4399
20,7.8488,9.3584
18,2.0001,45.9912
21,1.3084,39.358
29,6.7581,31.339
16,5.5988,45.4464
28,7.8967,13.2934
16,7.3881,21.0857
17,6.2521,4.2893
11,9.8638,22.8091
19,5.3359,25.32
8,1.1311,30.8033
21,8.2827,3.202
14,2.5185,1.6233
25,7.773,20.9945
21,9.5711,9.4567
17,6.968,37.9394
16,5.9603,33.4368
10,4.6039,16.2913
17,3.6441,2.2892
19,3.53,9.1222
26,6.3637,34.584
22,7.5127,49.5082
25,6.7852,16.323
25,1.9841,40.0998
23,4.9399,43.3548
25,7.9164,2.409
24,4.757,45.8111
26,5.3662,23.3101
30,7.7114,48.2121
25,6.6127,26.9278
13,4.0934,11.7572
22,8.9541,48.7334
17,1.6257,12.1652
23,9.9552,44.1239
19,1.1885,8.6564
16,0.1495,33.7384
24,8.9002,20.5646
26,2.4495,48.6009
23,7.297,9.2386
18,8.1102,20.4397
17,8.5899,31.9888
28,9.9159,48.881
17,2.9404,15.1932
29,7.1024,19.8436
10,1.154,23.0896
25,4.0681,12.635
21,8.4797,40.8677
15,3.6766,4.5998
23,5.911,35.2395
25,5.0377,26.6964
21,6.4595,12.0963
32,9.7289,24.6415
19,0.5574,41.4975
26,5.7396,22.2721
19,8.6303,6.0949
23,4.8138,2.0401
25,0.7853,38.8898
13,5.6054,16.5217
18,3.3207,46.5622
10,1.5494,30.8574
16,8.4903,21.8142
24,5.216,28.2232
26,9.3328,22.8566
24,8.0602,45.2906
23,6.9297,22.9011
21,0.0503,5.2032
12,4.2782,29.8544
24,1.9749,31.1491
28,9.108,38.2665
19,1.7458,46.6642
13,2.8606,22.1541
16,5.1684,17.6038
26,2.6336,24.5386
16,2.0986,45.0099
24,5.991,48.9991
22,0.8893,48.5618
10,0.5817,11.4848
16,3.7225,24.8448
20,7.2066,12.9737
15,5.5481,18.3991
16,4.2288,1.5842
16,5.6575,8.0301
29,3.6545,19.8538
22,9.3615,18.2352
21,0.549,13.9416
20,6.7339,11.5155
20,8.9128,37.4478
23,8.0388,14.7275
22,1.8404,35.3272
23,2.9593,18.4313
20,7.1705,40.099
22,0.8427,8.3617
20,8.1186,7.8802
17,7.1891,33.9836
23,7.2961,45.7458
11,1.0024,7.1493
17,7.1776,3.6852
29,6.7982,46.7319
19,8.3092,5.8663
15,0.416,12.5183
25,0.2311,46.4747
17,3.7301,40.1459
13,1.4879,17.1379
22,5.5838,47.7264
21,9.1735,28.4024
13,3.9148,3.6124
18,8.4495,35.1533
11,0.0024,26.8639
18,1.6851,28.6294
16,0.3042,49.7052
14,3.2815,7.6257
24,9.0819,32.8398
18,0.9695,22.9371
19,6.0641,13.5947
16,4.515,34.6772
31,9.3847,33.4106
16,1.2252,42.8248
27,2.1203,43.9435
19,0.2954,28.091
14,4.3394,16.2786
25,2.7783,26.479
18,8.6991,17.9628
13,6.0494,13.8678
25,6.1409,27.5788
25,5.3191,32.8967
21,0.9185,29.5286
24,4.4502,47.721
10,9.9951,14.9318
17,8.3523,18.6171
27,8.9346,33.3821
19,8.2323,30.0179
14,1.0304,0.0932
13,2.2745,15.6143
25,0.0312,12.6881
20,3.0351,41.9957
20,1.0861,43.3124
11,4.7279,14.1947
23,6.7713,5.1036
18,8.7451,10.2601
15,7.4922,8.8284
